* qta rimasta, latte, acqua, bicchierini, cucchiaini, zucchero.
*
* Latte (Litri)
Milk	999.4199999999998
* Zucchero (hg)
Sugar	981.75
* Cucchiaini
Spoons	977
* Bicchierini
Cups	459
* Vodka
Vodka	99.0
*id quantityleft
01	19.0
02	25.0
03	54.0
04	22.0
05	45.25
06	59.76
07	55.0
08	59.76
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
01	30
02	25
03	55
04	30
05	50
06	60
07	55
08	60
09	25
010	10
011	10
